cluster,alcohol-use,alcohol-frequency,marijuana-use,marijuana-frequency,cocaine-use,cocaine-frequency,crack-use,crack-frequency,heroin-use,heroin-frequency,hallucinogen-use,hallucinogen-frequency,inhalant-use,inhalant-frequency,pain-releiver-use,pain-releiver-frequency,oxycontin-use,oxycontin-frequency,tranquilizer-use,tranquilizer-frequency,stimulant-use,stimulant-frequency,meth-use,meth-frequency,sedative-use,sedative-frequency,member count
0,63.0,33.7,23.9,48.0,2.5,8.5,0.4,23.7,0.2,174.7,4.7,3.0,1.2,5.7,7.4,11.0,1.1,8.5,3.2,5.8,2.2,13.0,0.4,85.7,0.4,7.5,3
1,24.8,13.7,8.6,22.3,0.3,3.8,0.0,2.2,0.1,37.5,1.3,11.7,2.0,7.4,3.4,17.2,0.4,12.8,1.0,17.2,0.8,66.2,0.1,12.6,0.2,16.1,6
2,84.2,52.0,28.4,52.0,4.5,5.0,0.5,5.0,1.1,57.5,5.2,3.0,1.0,4.0,10.0,15.0,1.7,17.5,4.4,12.0,3.6,10.0,0.6,46.0,0.2,52.0,1
3,74.3,47.4,24.3,57.1,3.3,10.4,0.5,17.3,0.5,52.3,4.4,8.7,1.0,4.7,7.7,14.1,1.2,16.7,4.0,9.6,2.5,11.9,0.6,23.0,0.3,22.6,7
